DT,ruo,vol,T,C,MinRate,Percentile25,Percentile75,MaxRate,StatusXML,DateUpdate
12/30/2020,4.2700,74.8000,22,16,4.10,4.20,4.40,5.50,0,12/31/2020
12/29/2020,4.2000,317.0500,53,23,3.85,4.20,4.20,4.30,0,12/30/2020
12/28/2020,4.2400,397.0500,61,25,3.85,4.20,4.25,4.35,0,12/29/2020
12/25/2020,4.1900,298.2000,56,26,3.75,4.15,4.20,4.35,0,12/28/2020
12/24/2020,4.2000,376.1000,60,26,3.85,4.15,4.21,4.25,0,12/25/2020
12/23/2020,4.2000,274.2500,49,24,3.85,4.20,4.25,4.30,0,12/24/2020
12/22/2020,4.2800,110.2000,32,19,4.10,4.20,4.30,4.35,0,12/23/2020
12/21/2020,4.2700,118.4500,,,,,,,,12/22/2020
12/18/2020,4.2700,135.4000,,,,,,,,12/21/2020
12/17/2020,4.3100,133.6000,,,,,,,,12/18/2020
12/16/2020,4.3200,175.5000,,,,,,,,12/17/2020
12/15/2020,4.2500,78.0000,,,,,,,,12/16/2020
12/14/2020,4.1700,61.6000,,,,,,,,12/15/2020
12/11/2020,4.1900,97.7500,,,,,,,,12/14/2020
12/10/2020,4.1100,60.5500,,,,,,,,12/11/2020
12/9/2020,4.0500,67.0000,,,,,,,,12/10/2020
12/8/2020,3.5800,92.5000,,,,,,,,12/9/2020
12/7/2020,3.6400,112.5500,,,,,,,,12/8/2020
12/4/2020,4.0100,113.9700,,,,,,,,12/7/2020
12/3/2020,4.0200,87.6500,,,,,,,,12/4/2020
12/2/2020,4.0200,90.2800,,,,,,,,12/3/2020
12/1/2020,4.0600,92.9800,,,,,,,,12/2/2020
11/30/2020,4.0700,129.1500,,,,,,,,12/1/2020
11/27/2020,4.0300,135.7000,,,,,,,,11/30/2020
11/26/2020,4.0700,112.5500,,,,,,,,11/27/2020
11/25/2020,4.0600,131.2500,,,,,,,,11/26/2020
11/24/2020,4.0100,116.6500,,,,,,,,11/25/2020
11/23/2020,4.0200,115.7500,,,,,,,,11/24/2020
11/20/2020,4.0800,64.3000,,,,,,,,11/23/2020
11/19/2020,4.1000,93.3000,,,,,,,,11/20/2020
11/18/2020,4.1000,83.4000,,,,,,,,11/19/2020
11/17/2020,4.1800,108.1000,,,,,,,,11/18/2020
11/16/2020,4.1500,101.9000,,,,,,,,11/17/2020
11/13/2020,4.2000,99.7500,,,,,,,,11/16/2020
11/12/2020,4.1700,92.7100,,,,,,,,11/13/2020
11/11/2020,4.1400,104.2500,,,,,,,,11/12/2020
11/10/2020,3.7900,117.8000,,,,,,,,11/11/2020
11/9/2020,3.7800,104.5000,,,,,,,,11/10/2020
11/6/2020,4.0800,124.3500,,,,,,,,11/9/2020
11/5/2020,4.1400,121.1000,,,,,,,,11/6/2020
11/3/2020,4.0900,211.1000,,,,,,,,11/5/2020
11/2/2020,4.1500,148.2000,,,,,,,,11/3/2020
10/30/2020,4.2600,83.7000,,,,,,,,11/2/2020
10/29/2020,4.2600,97.3500,,,,,,,,10/30/2020
10/28/2020,4.2600,106.3500,,,,,,,,10/29/2020
10/27/2020,4.2300,134.3000,,,,,,,,10/28/2020
10/26/2020,4.2400,141.3500,,,,,,,,10/27/2020
10/23/2020,4.2300,165.2000,,,,,,,,10/26/2020
10/22/2020,4.2300,189.0000,,,,,,,,10/23/2020
10/21/2020,4.2400,179.8000,,,,,,,,10/22/2020
10/20/2020,4.2400,83.1000,,,,,,,,10/21/2020
10/19/2020,4.2200,77.5000,,,,,,,,10/20/2020
10/16/2020,4.2700,57.9500,,,,,,,,10/19/2020
10/15/2020,4.2400,101.0500,,,,,,,,10/16/2020
10/14/2020,4.2200,132.2000,,,,,,,,10/15/2020
10/13/2020,4.2400,180.7000,,,,,,,,10/14/2020
10/12/2020,4.2500,143.6000,,,,,,,,10/13/2020
10/9/2020,4.2400,155.1000,,,,,,,,10/12/2020
10/8/2020,4.2000,117.7500,,,,,,,,10/9/2020
10/7/2020,4.2000,168.4000,,,,,,,,10/8/2020
10/6/2020,4.0000,81.9000,,,,,,,,10/7/2020
10/5/2020,4.0400,91.9500,,,,,,,,10/6/2020
10/2/2020,3.9000,182.7500,,,,,,,,10/5/2020
10/1/2020,4.0800,132.1000,,,,,,,,10/2/2020
9/30/2020,4.1900,83.5000,,,,,,,,10/1/2020
9/29/2020,4.1900,130.8000,,,,,,,,9/30/2020
9/28/2020,4.2100,86.1000,,,,,,,,9/29/2020
9/25/2020,4.2300,105.4000,,,,,,,,9/28/2020
9/24/2020,4.1400,170.4800,,,,,,,,9/25/2020
9/23/2020,4.2000,204.6800,,,,,,,,9/24/2020
9/22/2020,4.1900,122.9500,,,,,,,,9/23/2020
9/21/2020,4.1600,81.4500,,,,,,,,9/22/2020
9/18/2020,4.2000,66.0000,,,,,,,,9/21/2020
9/17/2020,4.2400,90.9000,,,,,,,,9/18/2020
9/16/2020,4.2000,69.6000,,,,,,,,9/17/2020
9/15/2020,4.1800,87.4000,,,,,,,,9/16/2020
9/14/2020,4.1200,58.6500,,,,,,,,9/15/2020
9/11/2020,4.1000,98.0300,,,,,,,,9/14/2020
9/10/2020,4.1100,106.7000,,,,,,,,9/11/2020
9/9/2020,4.1200,98.5500,,,,,,,,9/10/2020
9/8/2020,4.3800,81.6000,,,,,,,,9/9/2020
9/7/2020,4.0000,136.5500,,,,,,,,9/8/2020
9/4/2020,4.1300,151.4000,,,,,,,,9/7/2020
9/3/2020,4.1500,88.0300,,,,,,,,9/4/2020
9/2/2020,4.1200,97.5000,,,,,,,,9/3/2020
9/1/2020,4.1000,105.7500,,,,,,,,9/2/2020
8/31/2020,4.1000,118.2000,,,,,,,,9/1/2020
8/28/2020,4.1800,91.1000,,,,,,,,8/31/2020
8/27/2020,4.1500,104.5000,,,,,,,,8/28/2020
